taxonomy_id	name	rank	lineage	CF_03_pe_SRX5286929_SRR8482188_db1.centrifuge	CF_01_pe_SRX5286927_SRR8482190_db1.centrifuge	CF_06_pe_SRX5286932_SRR8482185_db1.centrifuge	CF_02_pe_SRX5286928_SRR8482189_db1.centrifuge	CF_07_pe_SRX5286933_SRR8482184_db1.centrifuge	CF_05_pe_SRX5286931_SRR8482186_db1.centrifuge	CF_04_pe_SRX5286930_SRR8482187_db1.centrifuge	CF_08_pe_SRX5286934_SRR8482183_db1.centrifuge	CF_10_pe_SRX5286936_SRR8482181_db1.centrifuge	CF_09_pe_SRX5286935_SRR8482182_db1.centrifuge	CF_16_pe_SRX5286942_SRR8482175_db1.centrifuge	CF_15_pe_SRX5286941_SRR8482176_db1.centrifuge	CF_14_pe_SRX5286940_SRR8482177_db1.centrifuge	CF_13_pe_SRX5286939_SRR8482178_db1.centrifuge	CF_11_pe_SRX5286937_SRR8482180_db1.centrifuge	CF_12_pe_SRX5286938_SRR8482179_db1.centrifuge	CF_18_pe_SRX5286944_SRR8482152_db1.centrifuge	CF_19_pe_SRX5286945_SRR8482172_db1.centrifuge	CF_20_pe_SRX5286946_SRR8482171_db1.centrifuge	CF_23_pe_SRX5286949_SRR8482168_db1.centrifuge	CF_17_pe_SRX5286943_SRR8482174_db1.centrifuge	CF_22_pe_SRX5286948_SRR8482169_db1.centrifuge	CF_28_pe_SRX5286954_SRR8482163_db1.centrifuge	CF_26_pe_SRX5286952_SRR8482165_db1.centrifuge	CF_21_pe_SRX5286947_SRR8482170_db1.centrifuge	CF_24_pe_SRX5286950_SRR8482167_db1.centrifuge	CF_25_pe_SRX5286951_SRR8482166_db1.centrifuge	CF_30_pe_SRX5286956_SRR8482161_db1.centrifuge	CF_31_pe_SRX5286957_SRR8482160_db1.centrifuge	CF_32_pe_SRX5286958_SRR8482159_db1.centrifuge	CF_29_pe_SRX5286955_SRR8482162_db1.centrifuge	CF_34_pe_SRX5286960_SRR8482157_db1.centrifuge	CF_33_pe_SRX5286959_SRR8482158_db1.centrifuge	CF_27_pe_SRX5286953_SRR8482164_db1.centrifuge	CF_39_pe_SRX5286965_SRR8482151_db1.centrifuge	CF_36_pe_SRX5286962_SRR8482155_db1.centrifuge	CF_37_pe_SRX5286963_SRR8482154_db1.centrifuge	CF_35_pe_SRX5286961_SRR8482156_db1.centrifuge	CF_40_pe_SRX5286966_SRR8482150_db1.centrifuge	CF_38_pe_SRX5286964_SRR8482153_db1.centrifuge	CF_41_pe_SRX5286967_SRR8482149_db1.centrifuge	CF_47_pe_SRX5286973_SRR8482143_db1.centrifuge	CF_43_pe_SRX5286969_SRR8482147_db1.centrifuge	CF_53_pe_SRX5286979_SRR8482137_db1.centrifuge	CF_42_pe_SRX5286968_SRR8482148_db1.centrifuge	CF_45_pe_SRX5286971_SRR8482145_db1.centrifuge	CF_44_pe_SRX5286970_SRR8482146_db1.centrifuge	CF_46_pe_SRX5286972_SRR8482144_db1.centrifuge	CF_49_pe_SRX5286975_SRR8482141_db1.centrifuge	CF_48_pe_SRX5286974_SRR8482142_db1.centrifuge	CF_55_pe_SRX5286981_SRR8482135_db1.centrifuge	CF_54_pe_SRX5286980_SRR8482136_db1.centrifuge	CF_50_pe_SRX5286976_SRR8482140_db1.centrifuge	CF_51_pe_SRX5286977_SRR8482139_db1.centrifuge	CF_52_pe_SRX5286978_SRR8482138_db1.centrifuge	CF_57_pe_SRX5286983_SRR8482133_db1.centrifuge	CF_61_pe_SRX5286987_SRR8482129_db1.centrifuge	CF_62_pe_SRX5286988_SRR8482128_db1.centrifuge	CF_60_pe_SRX5286986_SRR8482130_db1.centrifuge	CF_58_pe_SRX5286984_SRR8482132_db1.centrifuge	CF_66_pe_SRX5286992_SRR8482124_db1.centrifuge	CF_67_pe_SRX5286993_SRR8482123_db1.centrifuge	CF_70_pe_SRX5286996_SRR8482120_db1.centrifuge	CF_69_pe_SRX5286995_SRR8482121_db1.centrifuge	CF_63_pe_SRX5286989_SRR8482127_db1.centrifuge	CF_56_pe_SRX5286982_SRR8482134_db1.centrifuge	CF_59_pe_SRX5286985_SRR8482131_db1.centrifuge	CF_72_pe_SRX5286998_SRR8482118_db1.centrifuge	CF_73_pe_SRX5286999_SRR8482117_db1.centrifuge	CF_71_pe_SRX5286997_SRR8482119_db1.centrifuge	CF_65_pe_SRX5286991_SRR8482125_db1.centrifuge	CF_74_pe_SRX5287000_SRR8482116_db1.centrifuge	CF_77_pe_SRX5287003_SRR8482113_db1.centrifuge	CF_76_pe_SRX5287002_SRR8482114_db1.centrifuge	CF_64_pe_SRX5286990_SRR8482126_db1.centrifuge	CF_75_pe_SRX5287001_SRR8482115_db1.centrifuge	CF_68_pe_SRX5286994_SRR8482122_db1.centrifuge	CF_78_pe_SRX5287004_SRR8482112_db1.centrifuge	CF_79_pe_SRX5287005_SRR8482173_db1.centrifuge
1914894	Seunavirus 4MG	species	Seunavirus 4MG;Seunavirus;Vequintavirinae;Caudoviricetes;Uroviricota;Heunggongvirae;Duplodnaviria;Viruses;root	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
1391428	Escherichia phage 4MG	no rank	Escherichia phage 4MG;Seunavirus 4MG;Seunavirus;Vequintavirinae;Caudoviricetes;Uroviricota;Heunggongvirae;Duplodnaviria;Viruses;root	0	0	0	1	0	0	0	0	0	0	0	0	0	0	1	0	0	1	0	0	0	0	0	0	1	0	0	0	0	0	0	0	0	0	0	0	0	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	1	0	0	0	0	0	0	1	0	0	0	0	0	0	0	0	0	0	0	0
1914895	Seunavirus GAP31	species	Seunavirus GAP31;Seunavirus;Vequintavirinae;Caudoviricetes;Uroviricota;Heunggongvirae;Duplodnaviria;Viruses;root	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
1141135	Cronobacter phage vB_CsaM_GAP31	no rank	Cronobacter phage vB_CsaM_GAP31;Seunavirus GAP31;Seunavirus;Vequintavirinae;Caudoviricetes;Uroviricota;Heunggongvirae;Duplodnaviria;Viruses;root	0	0	0	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	1
273133	Pseudomonas phage EL	no rank	Pseudomonas phage EL;Elvirus EL;Elvirus;Caudoviricetes;Uroviricota;Heunggongvirae;Duplodnaviria;Viruses;root	0	0	0	1	0	0	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	1	0	0	0	0	0	0	0	0	0	0	0	0
1636618	Fletchervirus	genus	Fletchervirus;Eucampyvirinae;Caudoviricetes;Uroviricota;Heunggongvirae;Duplodnaviria;Viruses;root	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
934027	Fletchervirus NCTC12673	species	Fletchervirus NCTC12673;Fletchervirus;Eucampyvirinae;Caudoviricetes;Uroviricota;Heunggongvirae;Duplodnaviria;Viruses;root	0	0	0	1	1	0	1	0	1	0	0	0	0	1	1	0	0	1	0	1	0	1	0	1	1	0	1	0	0	0	0	0	0	0	0	0	1	0	0	1	0	0	1	0	1	1	0	0	0	1	0	0	0	0	0	0	1	0	1	0	0	0	0	0	0	0	0	1	0	0	0	0	0	1	0	1	1	0	1
1221835	Acinetobacter phage YMC/09/02/B1251	no rank	Acinetobacter phage YMC/09/02/B1251;Vieuvirus B1251;Vieuvirus;Caudoviricetes;Uroviricota;Heunggongvirae;Duplodnaviria;Viruses;root	0	0	0	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	1	0	0	0	0	0	0	0	0	0	0	1	0	1	0	0	1
1357704	Proteus phage PM16	no rank	Proteus phage PM16;Novosibovirus PM16;Novosibovirus;Slopekvirinae;Autographiviridae;Caudoviricetes;Uroviricota;Heunggongvirae;Duplodnaviria;Viruses;root	0	0	0	1	0	0	0	0	0	0	0	0	0	0	0	0	0	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	1	0	0	1	0	0	0	0	0	0	0	0	0	0	0	0	0
1560282	Proteus phage PM 75	no rank	Proteus phage PM 75;Novosibovirus PM75;Novosibovirus;Slopekvirinae;Autographiviridae;Caudoviricetes;Uroviricota;Heunggongvirae;Duplodnaviria;Viruses;root	0	0	0	1	0	0	0	0	0	0	0	0	0	0	0	0	0	1	0	0	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	1	0	0	1	0	0	0	0	0	0	0	0	0	0	0	0	0
1498227	Shigella phage POCJ13	no rank	Shigella phage POCJ13;Diegovirus POCJ13;Diegovirus;Sepvirinae;Caudoviricetes;Uroviricota;Heunggongvirae;Duplodnaviria;Viruses;root	0	0	0	1	0	0	0	0	0	0	0	0	0	0	1	0	0	0	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	1	0	0	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	1	0	0	0	0	0	0	1	0	0	0	0	1	1
1874001	Bacillus phage Claudi	no rank	Bacillus phage Claudi;Claudivirus claudi;Claudivirus;Northropvirinae;Salasmaviridae;Caudoviricetes;Uroviricota;Heunggongvirae;Duplodnaviria;Viruses;root	0	0	0	1	0	0	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
1874002	Bacillus phage Stitch	no rank	Bacillus phage Stitch;Claudivirus stitch;Claudivirus;Northropvirinae;Salasmaviridae;Caudoviricetes;Uroviricota;Heunggongvirae;Duplodnaviria;Viruses;root	0	0	0	1	1	0	0	0	0	0	0	0	0	1	1	0	0	1	1	0	1	0	0	0	1	0	1	0	0	0	0	0	0	0	1	1	0	0	1	1	0	0	0	0	0	1	0	0	0	0	0	0	0	0	0	0	0	0	0	1	0	0	0	0	0	0	0	0	0	0	0	0	0	1	0	1	0	0	0
1132574	unclassified Autographiviridae	no rank	unclassified Autographiviridae;Autographiviridae;Caudoviricetes;Uroviricota;Heunggongvirae;Duplodnaviria;Viruses;root	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
444875	Cyanophage 9515-10a	no rank	Cyanophage 9515-10a;Tangaroavirus tv951510a;Tangaroavirus;Autographiviridae;Caudoviricetes;Uroviricota;Heunggongvirae;Duplodnaviria;Viruses;root	0	0	0	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
46021	Paramecium bursaria Chlorella virus NY2A	species	Paramecium bursaria Chlorella virus NY2A;Chlorovirus;Phycodnaviridae;Algavirales;Megaviricetes;Nucleocytoviricota;Bamfordvirae;Varidnaviria;Viruses;root	0	0	0	1	0	0	0	0	0	0	0	0	1	0	0	1	0	1	1	0	0	0	1	0	0	1	1	0	0	0	0	0	0	0	1	0	0	0	0	0	0	0	0	0	0	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	1	0	0	1	0	0	0	1	0	0	0	1	0	1	0	0	1
322019	Acanthocystis turfacea chlorella virus 1	species	Acanthocystis turfacea chlorella virus 1;Chlorovirus;Phycodnaviridae;Algavirales;Megaviricetes;Nucleocytoviricota;Bamfordvirae;Varidnaviria;Viruses;root	0	0	0	1	0	0	0	0	1	0	0	0	0	0	1	0	0	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	1	0	0	0	0	0	0	1	0	0	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	1	0	0	0	0	1	0	0	0	1
880161	Micromonas sp. RCC1109 virus MpV1	species	Micromonas sp. RCC1109 virus MpV1;unclassified Prasinovirus;Prasinovirus;Phycodnaviridae;Algavirales;Megaviricetes;Nucleocytoviricota;Bamfordvirae;Varidnaviria;Viruses;root	0	0	0	1	0	0	1	0	0	0	0	0	0	0	0	0	0	1	0	1	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	1	1	0	0	0	1	0	0	0	0	0	0	0	0	0	1	0	0	0	0	0	0	0	0	0	0	0	1	1	1	0	0	0	0	1	1	0	0	0	1
933845	Bathycoccus sp. RCC1105 virus BpV	species	Bathycoccus sp. RCC1105 virus BpV;unclassified Prasinovirus;Prasinovirus;Phycodnaviridae;Algavirales;Megaviricetes;Nucleocytoviricota;Bamfordvirae;Varidnaviria;Viruses;root	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
880159	Bathycoccus sp. RCC1105 virus BpV1	no rank	Bathycoccus sp. RCC1105 virus BpV1;Bathycoccus sp. RCC1105 virus BpV;unclassified Prasinovirus;Prasinovirus;Phycodnaviridae;Algavirales;Megaviricetes;Nucleocytoviricota;Bamfordvirae;Varidnaviria;Viruses;root	0	0	0	1	1	0	0	0	0	0	0	0	0	0	0	1	0	1	0	1	0	1	1	1	0	0	1	0	0	0	0	0	0	0	0	0	0	1	0	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	1	0	0	0	0	0	0	0	0	0	0	0	0	0
181086	Prymnesiovirus	genus	Prymnesiovirus;Phycodnaviridae;Algavirales;Megaviricetes;Nucleocytoviricota;Bamfordvirae;Varidnaviria;Viruses;root	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
358403	unclassified Prymnesiovirus	no rank	unclassified Prymnesiovirus;Prymnesiovirus;Phycodnaviridae;Algavirales;Megaviricetes;Nucleocytoviricota;Bamfordvirae;Varidnaviria;Viruses;root	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
251749	Phaeocystis globosa virus	species	Phaeocystis globosa virus;unclassified Prymnesiovirus;Prymnesiovirus;Phycodnaviridae;Algavirales;Megaviricetes;Nucleocytoviricota;Bamfordvirae;Varidnaviria;Viruses;root	0	0	0	1	1	0	0	0	1	0	0	0	0	0	1	0	0	1	1	0	0	1	1	0	0	0	1	0	0	0	0	0	0	0	0	1	0	1	0	1	0	0	0	0	1	1	0	0	0	0	0	0	0	0	1	0	0	0	0	0	0	0	1	0	0	0	1	0	1	0	0	0	0	0	0	1	0	1	1
31508	Agrotis segetum nucleopolyhedrovirus A	no rank	Agrotis segetum nucleopolyhedrovirus A;Alphabaculovirus agsegetum;Alphabaculovirus;Baculoviridae;Lefavirales;Naldaviricetes;Viruses;root	0	0	0	1	0	0	0	0	1	0	0	0	0	0	1	0	0	1	0	1	0	0	1	0	0	0	0	0	0	0	0	0	0	0	1	0	0	0	0	1	0	0	0	0	0	1	0	0	0	0	0	0	0	0	1	0	0	0	0	0	0	0	0	0	0	1	1	0	1	0	0	0	0	1	0	1	0	0	1
307467	Euproctis pseudoconspersa nucleopolyhedrovirus	no rank	Euproctis pseudoconspersa nucleopolyhedrovirus;Alphabaculovirus eupseudoconspersae;Alphabaculovirus;Baculoviridae;Lefavirales;Naldaviricetes;Viruses;root	0	0	0	1	0	0	0	0	0	0	0	0	0	0	0	0	0	1	0	0	0	1	0	0	1	1	0	0	0	0	0	0	0	0	0	0	0	0	0	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	1	0	0	0	0	0	0	0	1	0	0	0	0	1	0	0	0	0	0	1	0	0	0	0	1
1307956	Leucania separata nucleopolyhedrovirus	no rank	Leucania separata nucleopolyhedrovirus;Alphabaculovirus leseparatae;Alphabaculovirus;Baculoviridae;Lefavirales;Naldaviricetes;Viruses;root	0	0	0	1	0	0	0	0	0	0	0	0	0	0	1	1	0	0	0	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	1	0	0	0	0	0	0	0	0	0	0	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	1	0	0	1	0	0	0	0	0	0	0	1	0	0	0	0	0
10358	Cytomegalovirus	genus	Cytomegalovirus;Betaherpesvirinae;Orthoherpesviridae;Herpesvirales;Herviviricetes;Peploviricota;Heunggongvirae;Duplodnaviria;Viruses;root	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
188763	Panine betaherpesvirus 2	no rank	Panine betaherpesvirus 2;Cytomegalovirus paninebeta2;Cytomegalovirus;Betaherpesvirinae;Orthoherpesviridae;Herpesvirales;Herviviricetes;Peploviricota;Heunggongvirae;Duplodnaviria;Viruses;root	0	0	0	1	0	0	0	0	1	0	0	0	0	0	0	1	0	0	1	0	0	0	1	0	0	0	1	0	0	0	0	0	0	0	0	0	0	0	0	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	1	0	0	0	0	1	0	0	0	0	0	1	0	0	0	0	0
1608255	Suid betaherpesvirus 2	no rank	Suid betaherpesvirus 2;Roseolovirus suidbeta2;Roseolovirus;Betaherpesvirinae;Orthoherpesviridae;Herpesvirales;Herviviricetes;Peploviricota;Heunggongvirae;Duplodnaviria;Viruses;root	0	0	0	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
548687	Macavirus	genus	Macavirus;Gammaherpesvirinae;Orthoherpesviridae;Herpesvirales;Herviviricetes;Peploviricota;Heunggongvirae;Duplodnaviria;Viruses;root	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
1504288	Bovine gammaherpesvirus 6	no rank	Bovine gammaherpesvirus 6;Macavirus bovinegamma6;Macavirus;Gammaherpesvirinae;Orthoherpesviridae;Herpesvirales;Herviviricetes;Peploviricota;Heunggongvirae;Duplodnaviria;Viruses;root	0	0	0	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	1	0	0	1
10257	Parapoxvirus	genus	Parapoxvirus;Chordopoxvirinae;Poxviridae;Chitovirales;Pokkesviricetes;Nucleocytoviricota;Bamfordvirae;Varidnaviria;Viruses;root	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
129726	Pseudocowpox virus	species	Pseudocowpox virus;Parapoxvirus;Chordopoxvirinae;Poxviridae;Chitovirales;Pokkesviricetes;Nucleocytoviricota;Bamfordvirae;Varidnaviria;Viruses;root	0	0	0	1	0	0	0	0	0	0	0	0	0	0	1	0	0	1	1	0	0	0	1	1	0	0	1	0	0	0	0	0	0	0	0	1	0	0	0	1	0	0	0	0	0	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	1	0	1	0	0	0	0	1	0	0	0	0	1	1	0	0	1	0	1
10261	Fowlpox virus	species	Fowlpox virus;Avipoxvirus;Chordopoxvirinae;Poxviridae;Chitovirales;Pokkesviricetes;Nucleocytoviricota;Bamfordvirae;Varidnaviria;Viruses;root	0	0	0	1	1	0	0	0	0	0	0	0	0	0	0	0	0	1	0	0	0	0	0	0	0	0	1	0	0	0	0	0	0	0	1	0	0	0	0	1	0	0	0	0	0	1	0	0	0	0	0	0	0	0	1	0	0	0	0	0	0	0	0	0	0	1	1	1	1	0	0	0	0	0	0	1	0	1	1
345195	Invertebrate iridescent virus 9	species	Invertebrate iridescent virus 9;Chloriridovirus;Betairidovirinae;Iridoviridae;Pimascovirales;Megaviricetes;Nucleocytoviricota;Bamfordvirae;Varidnaviria;Viruses;root	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
68347	Wiseana iridescent virus	no rank	Wiseana iridescent virus;Invertebrate iridescent virus 9;Chloriridovirus;Betairidovirinae;Iridoviridae;Pimascovirales;Megaviricetes;Nucleocytoviricota;Bamfordvirae;Varidnaviria;Viruses;root	0	0	0	1	0	0	0	0	1	0	0	0	0	0	1	0	0	1	1	0	0	0	0	1	0	0	1	0	0	0	0	0	0	0	1	0	0	0	1	1	0	0	1	0	0	0	0	0	0	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	1	0	0	0	1	1	1	0	0	1	1
10494	Lymphocystivirus	genus	Lymphocystivirus;Alphairidovirinae;Iridoviridae;Pimascovirales;Megaviricetes;Nucleocytoviricota;Bamfordvirae;Varidnaviria;Viruses;root	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
345690	unclassified Lymphocystivirus	no rank	unclassified Lymphocystivirus;Lymphocystivirus;Alphairidovirinae;Iridoviridae;Pimascovirales;Megaviricetes;Nucleocytoviricota;Bamfordvirae;Varidnaviria;Viruses;root	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
256729	Lymphocystis disease virus - isolate China	no rank	Lymphocystis disease virus - isolate China;Lymphocystis disease virus 2;Lymphocystivirus;Alphairidovirinae;Iridoviridae;Pimascovirales;Megaviricetes;Nucleocytoviricota;Bamfordvirae;Varidnaviria;Viruses;root	0	0	0	1	1	0	0	0	0	0	0	0	0	1	1	0	0	1	1	0	0	0	0	0	1	0	1	0	0	0	0	0	0	0	0	0	0	0	0	1	0	0	1	0	1	1	0	0	0	0	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	1	0	1	0	0	0	0	0	1	0	1	1	1	1
754058	Vibrio phage PWH3a-P1	species	Vibrio phage PWH3a-P1;unclassified Caudoviricetes;Caudoviricetes;Uroviricota;Heunggongvirae;Duplodnaviria;Viruses;root	0	0	0	1	0	0	0	0	0	0	0	0	0	0	0	0	0	1	1	1	1	0	1	1	0	0	0	0	0	0	0	0	0	0	1	0	0	0	0	1	0	0	1	0	0	0	0	0	0	0	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	1	1	0	0	0	0	0	0	0	0	0	1
151341	Polyomaviridae	family	Polyomaviridae;Sepolyvirales;Papovaviricetes;Cossaviricota;Shotokuvirae;Monodnaviria;Viruses;root	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
1723728	unclassified Polyomaviridae	no rank	unclassified Polyomaviridae;Polyomaviridae;Sepolyvirales;Papovaviricetes;Cossaviricota;Shotokuvirae;Monodnaviria;Viruses;root	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
493803	Merkel cell polyomavirus	no rank	Merkel cell polyomavirus;Alphapolyomavirus quintihominis;Alphapolyomavirus;Polyomaviridae;Sepolyvirales;Papovaviricetes;Cossaviricota;Shotokuvirae;Monodnaviria;Viruses;root	0	0	0	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
